Country,Year,"Fertility rate, total (births per woman)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net inflows (BoP, current US$)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Human capital index (HCI) (scale 0-1),rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
Switzerland,1960,2.44,,,,,,118564.390625,122351.3203125,5.262624431098213,2.7386529445648193,1964.8275390960641,2.99225115776062,76873.140625,129954.9453125,128032.1171875,130307.9453125,418344.5,0.03455861285328865,0.9581506252288818,0.9563267230987549,180308.109375,96746.4453125,160179.59375,526266.5625,0.11588192731142044,0.8479055762290955,0.8883277177810669,0.6833442449569702,0.050104014575481415,0.04236267879605293,4.373000071273718,0.08483348041772842,0.07390889525413513,0.07261807471513748,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.5450053811073303,0.4073565900325775,0.04492902755737305,0.14027850329875946,-0.16550306975841522,0.027933554723858833,0.08234400302171707,0.05808788537979126,0.11503177136182785,0.0997360423207283,0.1033812016248703,0.07576627284288406,0.4403936266899109
Switzerland,1961,2.52,,,,,,128557.8125,132931.140625,5.409844529612295,2.8666605949401855,1967.6351345957917,3.010366201400757,83728.6953125,143508.9375,137339.203125,140495.90625,442597.78125,0.03691426292061806,0.9564812183380127,0.9786725044250488,194927.671875,104384.890625,177834.46875,554008.3125,0.12405785173177719,0.8650833368301392,0.9307525157928467,0.6833442449569702,0.049142856150865555,0.04320899024605751,4.373000071273718,0.08658060431480408,0.0775105357170105,0.07576900720596313,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.5461660027503967,0.425494521856308,0.04978509992361069,0.13625356554985046,-0.176495760679245,0.018796488642692566,0.08369118720293045,0.06480691581964493,0.11827889084815979,0.1048860028386116,0.10832599550485611,0.08102928847074509,0.4436345398426056
Switzerland,1962,2.58,,,,,,135266.078125,139404.40625,5.560990210380213,2.9771299362182617,1970.446741945075,3.028590679168701,89680.015625,150607.875,143518.8125,148575.265625,466801.6875,0.04002728313207626,0.9231380224227905,0.93728107213974,204264.03125,111278.6640625,188178.59375,582205.5,0.13330258429050446,0.8591235876083374,0.9333999752998352,0.6833442449569702,0.04834526777267456,0.04423067718744278,4.373000071273718,0.09063860774040222,0.08225380629301071,0.0794544592499733,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.5526964068412781,0.41008076071739197,0.050903454422950745,0.13377274572849274,-0.16587555408477783,0.018422113731503487,0.08728624880313873,0.06991218030452728,0.12703758478164673,0.11069272458553314,0.12175402790307999,0.08530022948980331,0.4171288311481476
Switzerland,1963,2.65,,,,,,141887.203125,145815.890625,5.681710756681731,3.022890090942383,1973.2623668765552,3.0469255447387695,93698.5703125,157266.828125,150510.875,155650.625,490003.9375,0.040406085550785065,0.9253657460212708,0.9390153288841248,214231.203125,117173.640625,196902.96875,610492.3125,0.1430928111076355,0.8674774169921875,0.9402893781661987,0.6833442449569702,0.04639766737818718,0.045106325298547745,4.373000071273718,0.0948219820857048,0.08624731749296188,0.08339933305978775,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.5487152934074402,0.40840351581573486,0.05326477065682411,0.13552919030189514,-0.16519597172737122,0.019283195957541466,0.09114283323287964,0.0736084133386612,0.13272327184677124,0.11384917050600052,0.12579981982707977,0.09127084165811539,0.42741531133651733
Switzerland,1964,2.66,,,,,,150726.6875,154483.59375,5.777894541897604,3.070162296295166,1976.0820151310647,3.06537127494812,97417.625,167214.609375,159688.0,164851.390625,516033.25,0.0410861112177372,0.9370321035385132,0.9582327008247375,225491.59375,122395.0625,208950.84375,641909.0,0.15295284986495972,0.8800793886184692,0.9617660045623779,0.6833442449569702,0.046369556337594986,0.04571152850985527,4.373000071273718,0.09964147955179214,0.09010723233222961,0.08728494495153427,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.5388612151145935,0.4233933687210083,0.052080851048231125,0.13298331201076508,-0.16684408485889435,0.019525347277522087,0.09565750509500504,0.07680003345012665,0.14086215198040009,0.12002867460250854,0.1305416226387024,0.09549273550510406,0.4315451979637146
Switzerland,1965,2.59,,,,,,155378.578125,158097.640625,5.832856437449649,3.049298048019409,1978.9056924576391,3.0839290618896484,100855.2109375,167495.65625,164299.84375,168636.078125,538205.625,0.039937980473041534,0.9392521381378174,0.935906171798706,232667.328125,126806.2109375,210752.640625,669130.375,0.16102935373783112,0.8930157423019409,0.9539608359336853,0.6833442449569702,0.04642961546778679,0.04603773355484009,4.373000071273718,0.10355427861213684,0.09379664808511734,0.09138480573892593,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.5437695980072021,0.39517316222190857,0.054294660687446594,0.13906581699848175,-0.16036030650138855,0.028057079762220383,0.09970542788505554,0.07902922481298447,0.14210113883018494,0.1253224015235901,0.13575424253940582,0.0979628637433052,0.43267613649368286
Switzerland,1966,2.5,,,,,,159785.3125,161869.484375,5.8848741463113186,3.0376057624816895,1981.733404613529,3.1025989055633545,103773.4453125,170277.859375,168774.3125,172956.6875,558137.0625,0.03833404555916786,0.9384004473686218,0.9237849116325378,238392.15625,130436.65625,214818.921875,695344.25,0.1692439466714859,0.8984594941139221,0.9548010230064392,0.6833442449569702,0.04666168615221977,0.04616670310497284,4.373000071273718,0.10836085677146912,0.09805392473936081,0.09568282216787338,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.544746994972229,0.38451486825942993,0.05524973198771477,0.14350707828998566,-0.1593540459871292,0.031335387378931046,0.10462258756160736,0.08197100460529327,0.14521914720535278,0.13100546598434448,0.14214183390140533,0.10076255351305008,0.44586533308029175
Switzerland,1967,2.39,,,,,,166001.34375,167306.6875,5.95063279706079,3.0537326335906982,1984.565157364212,3.1213817596435547,107323.4921875,176005.40625,175197.59375,179028.640625,581312.5625,0.036934345960617065,0.9585287570953369,0.9405128359794617,245678.296875,134033.46875,221933.921875,722787.5,0.17772851884365082,0.9037741422653198,0.9628322720527649,0.6833442449569702,0.04776856675744057,0.046275544911623,4.373000071273718,0.11241497844457626,0.10167834907770157,0.09950252622365952,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.5445482730865479,0.3836365044116974,0.05492837727069855,0.1410466432571411,-0.15481074154376984,0.030650917440652847,0.10863172262907028,0.0849011093378067,0.14992137253284454,0.1374545842409134,0.14789769053459167,0.1020813137292862,0.48028451204299927
Switzerland,1968,2.29,,,,,,172890.875,173470.875,6.018353770937389,3.0721776485443115,1987.4009564834034,3.1402783393859863,111655.1171875,181025.390625,182403.828125,185830.328125,603384.4375,0.036748386919498444,0.9554974436759949,0.9249867796897888,254494.1875,139223.375,228708.140625,749633.5,0.18567384779453278,0.9148594737052917,0.9695985913276672,0.6833442449569702,0.049069613218307495,0.04638849198818207,4.373000071273718,0.115294449031353,0.1042831614613533,0.10236028581857681,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.5449739694595337,0.3732990026473999,0.055870480835437775,0.14908675849437714,-0.15937449038028717,0.03614425286650658,0.11142997443675995,0.08655989915132523,0.15298941731452942,0.14259512722492218,0.1517510563135147,0.10311788320541382,0.4765979051589966
Switzerland,1969,2.19,,,,,,181859.65625,183341.359375,6.096871032011621,3.1229774951934814,1990.2408077530695,3.1592893600463867,117022.5,190894.046875,191717.3125,196518.859375,625357.125,0.03638309985399246,0.9821547865867615,0.9480956196784973,268829.875,146726.90625,241288.359375,778599.0625,0.1940600574016571,0.9375550150871277,0.9924061298370361,0.6833442449569702,0.04996850714087486,0.046470146626234055,4.373000071273718,0.11941377073526382,0.10750506073236465,0.10487837344408035,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.5391170978546143,0.3759005665779114,0.05636009946465492,0.1598452925682068,-0.16738757491111755,0.0361645370721817,0.11543363332748413,0.08864006400108337,0.15748605132102966,0.14674019813537598,0.16009701788425446,0.10717184841632843,0.49507129192352295
